Date,PM2.5
2018/10/2,29
2018/10/3,73
2018/10/4,67
2018/10/5,54
2018/10/6,32
2018/10/7,47
2018/10/8,109
2018/11/26,69
2018/11/27,33
2018/11/28,12
2018/11/29,18
2018/11/30,23
2018/12/1,20
2018/12/2,37
2018/12/3,80
2018/12/4,60
2018/12/5,51
2018/12/6,25
2018/12/7,9
2018/12/8,31
2018/12/9,89
2018/12/10,57
2018/12/11,13
2018/12/12,35
2018/12/13,21
2018/12/14,77
2018/12/15,125
2018/12/17,89
2018/12/18,28
2018/12/19,14
2018/12/20,11
2018/12/21,28
2018/12/22,32
2018/12/24,27
2018/12/25,19
2018/12/26,31
2018/12/27,57
2018/12/28,60
2018/12/29,58
2018/7/11,32
2018/7/12,35
2018/7/13,34
2018/7/14,43
2018/7/15,27
2018/7/16,36
2018/7/17,31
2018/7/18,68
2018/7/19,47
2018/7/20,48
2018/7/21,28
2018/7/23,760
2018/7/24,604
2018/7/25,37
2018/7/26,73
2018/7/27,49
2018/7/28,41
2018/7/29,68
2018/7/30,41
2018/7/31,58
2018/8/1,41
2018/8/2,55
2018/8/3,48
2018/8/7,31
2018/8/8,44
2018/8/9,38
2018/8/10,29
2018/8/11,70
2018/8/12,35
2018/8/13,33
2018/8/14,28
2018/8/15,42
2018/8/16,60
2018/8/17,43
2018/8/18,38
2018/8/19,34
2018/8/20,41
2018/8/21,54
2018/8/27,47
2018/8/28,54
2018/8/29,44
2018/8/30,44
2018/8/31,33
2018/9/1,67
2018/9/5,84
2018/9/6,53
2018/9/7,28
2018/9/8,47
2018/9/9,72
2018/9/10,87
2018/9/11,47
2018/9/12,37
2018/9/13,50
2018/9/14,43
2018/9/15,18
2018/9/16,40
2018/9/17,40
2018/9/18,20
2018/9/19,42
2018/9/20,28
2018/9/21,62
2018/9/22,37
2018/9/23,37
2018/9/24,55
2018/9/25,59
2018/9/26,13
2018/9/27,14
2018/4/3,59
2018/4/4,83
2018/4/5,92
2018/4/6,64
2018/4/7,55
2018/4/8,69
2018/4/9,62
2018/4/10,64
2018/4/11,82
2018/4/12,88
2018/4/13,86
2018/4/14,72
2018/4/15,66
2018/4/16,62
2018/4/17,89
2018/6/28,50
2018/1/1,76
2018/1/2,89
2018/1/3,95
2018/1/4,34
2018/1/6,97
2018/1/7,122
2018/1/8,121
2018/1/9,121
2018/1/10,133
2018/1/11,133
2018/1/12,116
2018/1/13,74
2018/1/14,58
2018/1/15,43
2018/1/16,78
2018/1/17,76
2018/1/18,31
2018/1/19,54
2018/1/20,94
2018/1/21,42
2018/1/22,41
2018/1/23,55
2018/1/24,27
2018/1/25,21
2018/1/26,34
2018/1/27,44
2018/1/28,68
2018/1/29,78
2018/1/30,84
2018/1/31,103
2018/2/1,128
2018/2/2,84
2018/2/3,78
2018/2/4,84
2018/2/5,55
2018/2/6,100
2018/2/7,103
2018/2/8,112
2018/2/9,88
2018/2/10,155
2018/2/12,43
2018/2/13,78
2018/2/14,97
2018/2/15,83
2018/2/16,61
2018/2/17,118
2018/2/18,65
2018/2/19,114
2018/2/20,96
2018/2/21,110
2018/2/22,88
2018/2/23,104
2018/2/24,92
2018/2/25,45
2018/2/26,55
2018/2/27,44
2018/2/28,36
2018/3/1,52
2018/3/2,96
2018/3/3,60
2018/3/4,59
2018/3/5,64
2018/3/6,86
2018/3/7,95
2018/3/8,88
2018/3/9,49
2018/3/10,58
2018/3/11,83
2018/3/12,114
2018/3/13,111
2018/3/14,38
2018/3/15,46
2018/3/16,55
2018/3/17,61
2018/3/18,78
2018/3/19,68
2018/3/20,76
2018/3/21,50
2018/3/22,50
2018/3/23,78
2018/3/24,73
2018/3/25,31
2018/3/26,57
2018/3/27,99
2018/3/28,90
2018/3/29,58
2018/3/30,45
