Date,PM2.5
2015/10/1,29
2015/10/2,29
2015/10/3,40
2015/10/4,45
2015/10/5,69
2015/10/6,70
2015/10/7,34
2015/10/8,37
2015/10/9,70
2015/10/10,52
2015/10/11,52
2015/10/12,55
2015/10/13,65
2015/10/14,36
2015/10/15,58
2015/10/16,50
2015/10/17,49
2015/10/18,65
2015/10/19,84
2015/10/20,79
2015/10/21,72
2015/10/22,46
2015/10/23,53
2015/10/24,40
2015/10/25,28
2015/10/26,40
2015/10/27,57
2015/10/28,39
2015/10/29,39
2015/10/30,54
2015/10/31,41
2015/11/1,39
2015/11/2,65
2015/11/3,96
2015/11/4,86
2015/11/5,85
2015/11/6,100
2015/11/7,94
2015/11/8,58
2015/11/9,60
2015/11/10,40
2015/11/11,56
2015/11/12,72
2015/11/13,116
2015/11/14,118
2015/11/15,120
2015/11/16,112
2015/11/17,81
2015/11/18,94
2015/11/19,109
2015/11/20,139
2015/11/21,746
2015/11/22,929
2015/11/23,917
2015/11/24,924
2015/11/25,122
2015/11/26,85
2015/11/27,60
2015/11/28,55
2015/11/29,13
2015/11/30,37
2015/12/1,60
2015/12/2,38
2015/12/3,37
2015/12/4,44
2015/12/5,64
2015/12/6,93
2015/12/7,153
2015/12/8,166
2015/12/9,101
2015/12/10,116
2015/12/11,153
2015/12/12,152
2015/12/13,121
2015/12/14,122
2015/12/15,118
2015/12/16,106
2015/12/17,64
2015/12/18,86
2015/12/19,111
2015/12/20,95
2015/12/21,105
2015/12/22,157
2015/12/23,90
2015/12/24,154
2015/12/25,160
2015/12/26,141
2015/12/27,181
2015/12/28,164
2015/12/29,103
2015/12/30,44
2015/7/1,37
2015/7/2,33
2015/7/3,30
2015/7/4,30
2015/7/5,29
2015/7/6,49
2015/7/7,51
2015/7/8,44
2015/7/9,53
2015/7/10,66
2015/7/11,32
2015/7/12,35
2015/7/13,37
2015/7/14,47
2015/7/15,47
2015/7/16,34
2015/7/17,31
2015/7/18,30
2015/7/19,31
2015/7/20,39
2015/7/21,42
2015/7/22,35
2015/7/23,39
2015/7/24,54
2015/7/25,56
2015/7/26,69
2015/7/27,61
2015/7/28,47
2015/7/29,74
2015/7/30,50
2015/7/31,48
2015/8/1,57
2015/8/2,59
2015/8/3,49
2015/8/4,40
2015/8/5,41
2015/8/6,17
2015/8/7,22
2015/8/8,27
2015/8/9,34
2015/8/10,43
2015/8/11,39
2015/8/12,43
2015/8/13,45
2015/8/14,60
2015/8/15,41
2015/8/16,43
2015/8/17,44
2015/8/18,43
2015/8/19,69
2015/8/20,48
2015/8/21,42
2015/8/22,46
2015/8/23,47
2015/8/24,28
2015/8/25,54
2015/8/26,23
2015/8/27,28
2015/8/28,43
2015/8/29,31
2015/8/30,35
2015/8/31,34
2015/9/1,34
2015/9/2,25
2015/9/3,40
2015/9/4,46
2015/9/5,41
2015/9/6,54
2015/9/7,59
2015/9/8,48
2015/9/9,30
2015/9/10,38
2015/9/11,61
2015/9/14,68
2015/9/15,41
2015/9/16,49
2015/9/17,54
2015/9/18,40
2015/9/19,43
2015/9/20,51
2015/9/21,43
2015/9/22,53
2015/9/23,33
2015/9/24,36
2015/9/25,36
2015/9/26,45
2015/9/27,49
2015/9/28,48
2015/9/29,37
2015/9/30,42
2015/4/1,89
2015/4/2,51
2015/4/3,49
2015/4/4,47
2015/4/5,75
2015/4/6,96
2015/4/7,17
2015/4/8,36
2015/4/9,10
2015/4/10,11
2015/4/11,9
2015/4/12,11
2015/4/13,10
2015/4/14,13
2015/4/22,12
2015/4/23,14
2015/4/24,19
2015/4/25,12
2015/4/26,11
2015/4/27,11
2015/4/28,16
2015/4/29,16
2015/4/30,13
2015/5/1,15
2015/5/2,12
2015/5/3,11
2015/5/4,27
2015/5/5,56
2015/5/6,60
2015/5/13,24
2015/5/14,59
2015/5/15,80
2015/5/16,97
2015/5/17,116
2015/5/18,105
2015/5/19,68
2015/5/20,99
2015/5/21,84
2015/5/22,61
2015/5/23,67
2015/5/24,76
2015/5/25,74
2015/5/26,61
2015/5/27,89
2015/5/28,51
2015/5/29,46
2015/6/1,43
2015/6/2,37
2015/6/3,55
2015/6/4,22
2015/6/5,34
2015/6/6,36
2015/6/7,30
2015/6/8,31
2015/6/9,26
2015/6/10,38
2015/6/11,34
2015/6/12,34
2015/6/13,31
2015/6/14,26
2015/6/15,37
2015/6/16,55
2015/6/17,44
2015/6/18,42
2015/6/19,33
2015/6/20,36
2015/6/21,31
2015/6/22,44
2015/6/23,32
2015/6/24,31
2015/6/25,34
2015/6/26,27
2015/6/27,38
2015/6/28,31
2015/6/29,31
2015/6/30,35
2015/1/1,38
2015/1/2,27
2015/1/3,56
2015/1/4,37
2015/1/7,32
2015/1/8,32
2015/1/17,122
2015/1/18,69
2015/1/19,82
2015/1/20,125
2015/1/21,87
2015/1/22,160
2015/1/29,55
2015/1/30,83
2015/1/31,71
2015/2/1,89
2015/2/2,65
2015/2/3,74
2015/2/5,154
2015/2/6,120
2015/2/7,87
2015/2/8,48
2015/2/9,56
2015/2/10,42
2015/2/11,22
2015/2/12,64
2015/2/13,53
2015/2/14,72
2015/2/15,80
2015/2/16,75
2015/2/17,27
2015/2/18,29
2015/2/19,24
2015/2/20,43
2015/2/21,68
2015/2/22,98
2015/2/23,145
2015/2/24,109
2015/3/9,25
2015/3/18,99
2015/3/19,113
2015/3/20,85
2015/3/21,56
2015/3/22,53
2015/3/23,84
2015/3/24,91
2015/3/25,87
2015/3/26,99
2015/3/27,106
2015/3/28,60
2015/3/29,61
2015/3/30,74
2015/3/31,63
