Date,PM2.5
2017/10/1,50
2017/10/2,44
2017/10/3,47
2017/10/4,57
2017/10/5,74
2017/10/6,75
2017/10/7,80
2017/10/8,44
2017/10/9,46
2017/10/10,60
2017/10/11,66
2017/10/12,68
2017/10/13,83
2017/10/14,91
2017/10/15,60
2017/10/16,55
2017/10/17,55
2017/10/18,79
2017/10/19,86
2017/10/20,101
2017/10/21,100
2017/10/22,105
2017/10/23,97
2017/10/24,79
2017/10/25,62
2017/10/26,50
2017/10/27,74
2017/10/28,110
2017/10/29,42
2017/10/30,49
2017/10/31,40
2017/11/1,63
2017/11/2,93
2017/11/3,120
2017/11/4,128
2017/11/5,91
2017/11/6,69
2017/11/7,91
2017/11/8,153
2017/11/9,152
2017/11/10,142
2017/11/11,146
2017/11/12,145
2017/11/13,106
2017/11/14,104
2017/11/15,132
2017/11/16,107
2017/11/17,121
2017/11/18,147
2017/11/19,117
2017/11/20,38
2017/11/21,33
2017/11/23,65
2017/11/24,64
2017/11/25,77
2017/11/26,118
2017/11/27,129
2017/11/28,61
2017/11/29,44
2017/11/30,74
2017/12/1,113
2017/12/2,140
2017/12/3,133
2017/12/4,133
2017/12/5,52
2017/12/6,43
2017/12/7,57
2017/12/8,79
2017/12/9,125
2017/12/10,64
2017/12/11,51
2017/12/12,131
2017/12/13,152
2017/12/14,172
2017/12/15,183
2017/12/16,143
2017/12/17,74
2017/12/18,59
2017/12/19,45
2017/12/20,79
2017/12/21,86
2017/12/22,98
2017/12/23,66
2017/12/24,52
2017/12/25,88
2017/12/26,130
2017/12/27,111
2017/12/28,116
2017/12/29,85
2017/12/30,46
2017/7/1,69
2017/7/2,49
2017/7/3,63
2017/7/4,75
2017/7/5,30
2017/7/6,33
2017/7/7,40
2017/7/8,47
2017/7/9,42
2017/7/10,32
2017/7/11,45
2017/7/12,50
2017/7/13,41
2017/7/14,50
2017/7/15,52
2017/7/16,65
2017/7/17,48
2017/7/18,72
2017/7/19,52
2017/7/20,53
2017/7/21,41
2017/7/22,56
2017/7/23,34
2017/7/24,52
2017/7/25,61
2017/7/26,74
2017/7/27,71
2017/7/28,63
2017/7/29,49
2017/7/30,50
2017/7/31,32
2017/8/1,48
2017/8/2,43
2017/8/3,54
2017/8/4,60
2017/8/5,76
2017/8/6,44
2017/8/7,64
2017/8/8,63
2017/8/9,61
2017/8/10,53
2017/8/11,70
2017/8/12,64
2017/8/13,67
2017/8/14,80
2017/8/15,66
2017/8/16,66
2017/8/17,59
2017/8/18,62
2017/8/19,68
2017/8/20,62
2017/8/21,60
2017/8/22,56
2017/8/23,38
2017/8/24,42
2017/8/25,35
2017/8/26,31
2017/8/27,36
2017/8/28,49
2017/8/29,51
2017/8/30,56
2017/8/31,36
2017/9/1,30
2017/9/2,50
2017/9/3,55
2017/9/4,62
2017/9/5,69
2017/9/6,79
2017/9/11,78
2017/9/12,86
2017/9/13,88
2017/9/14,64
2017/9/15,61
2017/9/16,92
2017/9/17,69
2017/9/18,82
2017/9/19,91
2017/9/20,79
2017/9/21,75
2017/9/22,54
2017/9/23,55
2017/9/24,57
2017/9/25,52
2017/9/26,58
2017/9/27,61
2017/9/28,67
2017/9/29,55
2017/9/30,49
2017/4/1,41
2017/4/2,41
2017/4/3,50
2017/4/4,67
2017/4/5,56
2017/4/6,58
2017/4/7,45
2017/4/8,39
2017/4/9,53
2017/4/10,35
2017/4/11,55
2017/4/12,56
2017/4/13,54
2017/4/14,91
2017/4/15,66
2017/4/16,84
2017/4/17,71
2017/4/18,40
2017/4/19,47
2017/4/20,75
2017/4/21,45
2017/4/22,50
2017/4/23,51
2017/4/24,74
2017/4/25,56
2017/4/26,66
2017/4/27,77
2017/4/28,78
2017/4/29,69
2017/4/30,73
2017/5/1,77
2017/5/2,63
2017/5/3,76
2017/5/4,56
2017/5/5,60
2017/5/6,60
2017/5/7,35
2017/5/8,52
2017/5/9,41
2017/5/10,43
2017/5/11,37
2017/5/12,49
2017/5/13,75
2017/5/14,76
2017/5/15,31
2017/5/16,29
2017/5/17,38
2017/5/18,36
2017/5/19,32
2017/5/20,28
2017/5/21,52
2017/5/22,35
2017/5/23,48
2017/5/24,51
2017/5/25,61
2017/5/26,55
2017/5/27,75
2017/5/28,62
2017/5/29,43
2017/5/30,38
2017/5/31,50
2017/6/1,68
2017/6/2,65
2017/6/3,80
2017/6/4,67
2017/6/5,50
2017/6/6,57
2017/6/7,69
2017/6/8,88
2017/6/9,47
2017/6/10,34
2017/6/11,47
2017/6/12,37
2017/6/13,42
2017/6/14,52
2017/6/15,52
2017/6/16,50
2017/6/17,44
2017/6/18,64
2017/6/19,58
2017/6/20,37
2017/6/21,77
2017/6/22,79
2017/6/23,51
2017/6/24,71
2017/6/25,46
2017/6/26,36
2017/6/27,56
2017/6/28,69
2017/6/29,62
2017/6/30,63
2017/1/2,134
2017/1/3,137
2017/1/4,93
2017/1/5,87
2017/1/6,24
2017/1/7,33
2017/1/8,37
2017/1/9,61
2017/1/10,68
2017/1/11,29
2017/1/12,57
2017/1/13,46
2017/1/14,97
2017/1/15,108
2017/1/16,99
2017/1/17,79
2017/1/18,112
2017/1/19,134
2017/1/20,81
2017/1/21,41
2017/1/22,59
2017/1/23,41
2017/1/24,107
2017/1/25,114
2017/1/26,22
2017/1/27,32
2017/1/28,33
2017/1/29,50
2017/1/30,93
2017/1/31,94
2017/2/1,95
2017/2/2,106
2017/2/3,111
2017/2/4,135
2017/2/5,71
2017/2/6,56
2017/2/7,83
2017/2/8,110
2017/2/9,133
2017/2/10,140
2017/2/11,130
2017/2/12,57
2017/2/13,29
2017/2/14,34
2017/2/15,55
2017/2/16,36
2017/2/17,75
2017/2/18,72
2017/2/19,112
2017/2/20,287
2017/2/21,279
2017/2/22,72
