T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
0.4,5.2,-1.6,1025.7,95,1,4.1,9.4,255.875
0.3,1.4,-1.4,1026.8,88,3.2,7.2,14.8,217.08333333333334
1.3,3.4,-1.6,1026.3,92,8,9.3,14.8,229.16666666666666
-0.3,1.4,-1.5,1029.4,96,2.3,4.8,11.1,298.4583333333333
-1.1,3.5,-2.8,1029.7,91,3.1,5.4,9.4,264.9166666666667
-1.9,-0.7,-3.6,1027.5,98,1.6,4.4,11.1,404.5
2.1,6.8,-0.6,1023.7,89,7.6,4.8,11.1,188.5
0.6,4.9,-3.5,1024.9,91,4.3,6.3,13,164.75
2.9,12.1,-3.4,1025.4,64,8.9,5.2,11.1,376.9166666666667
6.1,12.3,1.7,1022.9,73,15,4.3,9.4,0.0
5.4,14,-0.6,1019.9,72,12.4,4.1,7.6,0.0
7.4,15.4,0.3,1017,58,18.8,3.9,7.6,57.0
5,7.8,2.1,1012.2,84,16.3,7.2,13,202.91666666666666
5.6,8.6,3.3,1004.6,95,15.3,6.5,9.4,205.125
7.8,11.6,4.7,1001.4,70,15.6,9.3,20.6,214.125
2,8.1,-2.2,1029.9,65,12.7,4.4,11.1,315.7916666666667
1,6,-3.2,1029.8,66,18.8,10.9,20.6,322.25
0.3,4.9,-4.3,1025.3,59,19.3,17.2,31.7,246.04166666666666
2.3,10.5,-4.9,1022,47,11.6,4.4,7.6,99.5
4.4,12.8,-4.1,1023.1,53,12.2,5.2,11.1,143.91666666666666
5.7,11.7,-0.2,1020,69,17.2,4.6,11.1,100.25
9.3,17.4,1.8,1014.5,51,17.5,5.9,11.1,165.0
8.9,14.6,4.6,1010.5,53,19.2,8.9,25.9,116.45833333333333
6.9,10.8,4.6,1012.1,81,14.8,5,16.5,143.0
9.5,18.1,1.9,1025.2,53,14.2,4.6,9.4,231.125
10,19.2,0.5,1020.5,37,18.5,5.6,13,218.66666666666666
10.2,17.9,1.9,1016.9,31,17.7,5.9,13,211.0
5.8,7.9,3.9,1013.5,87,12.4,7.4,16.5,52.208333333333336
5.3,9,2.4,1020,68,20,4.8,7.6,187.5
4.4,9,1.3,1021.1,62,17.7,6.9,11.1,130.16666666666666
7.5,14.6,-0.1,1016.1,56,17.2,6.5,11.1,123.125
11.2,17.6,5.3,1005.3,52,15.8,8.7,20.6,120.91666666666667
9.9,13.7,7,1005.6,67,11.7,7.2,13,153.625
8.7,14,1.8,1017.7,68,18.3,8.7,18.3,130.33333333333334
8.2,12,6.4,1013.5,88,16.3,9.4,20.6,110.70833333333333
9.3,16,5.6,1014.3,82,14.6,10.4,22.2,138.5
3.1,7.5,-0.3,1020.8,56,19.6,14.6,27.8,75.75
4.2,10.4,-2.7,1024.8,50,20,4.1,7.6,146.54166666666666
6.7,15.1,-2.1,1019.7,46,17.4,3.9,5.4,116.625
9.7,17.7,1,1019.8,46,17.5,5.7,13,80.04166666666667
7.7,14.6,2.4,1020.4,55,20,8.7,16.5,100.04166666666667
8.1,15.1,1.1,1025.5,47,19.3,10.7,18.3,109.45833333333333
13.1,21.4,6,1007.2,34,20,9.1,16.5,110.16666666666667
9.3,15.4,5,1014.7,44,20,6.9,13,108.20833333333333
10.8,17.7,2,1017.7,45,20,5.6,13,103.83333333333333
5.7,13.8,-4.1,1016.1,45,20,5.7,11.1,74.29166666666667
9.9,17.8,0.1,1010,36,20,6.1,11.1,101.79166666666667
10.1,17.3,2.6,1012,47,17.9,7.2,18.3,106.16666666666667
9.6,15.5,3.5,1015.2,54,20,6.3,11.1,89.875
16.5,22.5,11.6,1008,32,19.8,8.9,20.6,48.208333333333336
10.2,14.3,4.5,1011.6,61,19.2,7.8,18.3,47.041666666666664
10.1,17.4,1.8,1013.3,47,20,5.6,9.4,67.79166666666667
9.6,15.4,3.2,1015.4,55,20,5.4,9.4,56.666666666666664
9.9,15.6,7.7,1014.3,65,18.8,8.3,16.5,79.0
12.2,18,7.6,1012.7,54,20,5.9,13,123.58333333333333
11.8,21.5,5.5,1011.9,51,19.8,9.1,27.8,80.29166666666667
12.3,18.6,4.3,1014.6,50,19.8,5.2,11.1,137.875
13.2,18.1,8.7,1014.2,57,19.8,7.2,16.5,87.875
19.2,26.3,13.3,1004.6,49,20,9.3,16.5,121.20833333333333
16.7,22.6,11.8,1006.4,51,20,8.1,13,97.04166666666667
15.9,23.8,10.6,1007.4,59,18.8,8,13,92.08333333333333
