T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
-3,-1.2,-7.7,1026.6,83,9.7,4.3,5.4,284.79583333333335
-6.8,-3.5,-9.2,1027.7,85,6.9,7.2,13,219.72083333333333
-7.1,-5.4,-9.5,1029.1,88,2.9,5.7,11.1,182.1875
3.1,6.7,-1.2,1006,71,16.6,13.5,29.4,154.03750000000002
-2.9,-0.7,-5.2,1009.5,80,8.9,6.3,13,223.20833333333334
-5.4,-3.2,-9.7,1017.2,81,10.9,4.8,11.1,200.64583333333337
-2.2,1.2,-6.9,1023.5,74,15.9,6.1,11.1,285.22499999999997
-3.9,1,-7.9,1020,75,10,8.7,14.8,236.82499999999996
-0.2,3,-4.3,1020.5,77,6.8,9.1,13,276.90833333333336
1.9,5,0.5,1027.3,92,6.3,8.1,13,108.0
2.2,5,0.2,1026.9,87,6.8,6.5,14.8,107.625
0.5,3.7,-1.4,1028.2,72,16.1,6.9,14.8,125.89166666666667
1.1,4,-1.8,1016.6,83,7.6,8,14.8,181.01250000000005
-1.6,0.6,-5.5,1020.7,54,16.4,10.9,22.2,152.55416666666667
-3.8,-0.2,-7.8,1023.6,51,19.5,9.8,16.5,152.32083333333335
-6.1,-2,-10.6,1030.3,46,16.3,7.8,16.5,319.7375
-5.8,-0.4,-12,1034.2,52,12.7,5.4,7.6,332.7083333333333
-4.7,2.1,-11.6,1036.6,53,14.2,4.6,7.6,279.59999999999997
-1.2,5.2,-9.7,1031.6,50,14.5,4.3,9.4,179.11666666666667
5.1,9.7,1.7,1020.8,86,13.8,9.1,13,54.791666666666664
5.3,10.2,2.4,1017.5,79,13.8,11.7,18.3,93.375
5.9,11.7,1.2,1021,71,14.5,4.3,9.4,103.0
-2.2,1,-4.7,1028.5,52,20,15.4,22.2,132.20833333333334
-2.7,0.7,-5.5,1028,53,19.2,9.3,18.3,127.70833333333333
-3,-1.2,-5.4,1025.9,74,13.8,7.6,14.8,109.33333333333333
3.9,9.5,-3.5,1028.8,55,15.4,4.8,7.6,56.458333333333336
5.7,11.6,-2,1022,61,14.3,7.8,14.8,135.83333333333334
5.8,8.6,3.7,1017.4,79,16.7,6.3,14.8,122.5
9.2,15.2,2.4,1021,55,20,5.4,14.8,69.66666666666667
8,11.2,4,1022.8,75,13.8,2,5.4,79.83333333333333
8.4,15.1,0.9,1019.6,71,12.9,5,11.1,62.708333333333336
9.9,13.2,7.5,1010.6,71,15.9,8,20.6,1.9166666666666667
8.8,14.5,4.9,1014.8,79,14.5,4.8,13,1.8333333333333333
9.9,16.7,2.8,1012.3,43,17.5,6.1,11.1,105.83333333333333
10.1,16.2,2.3,1013.9,45,16.4,7.8,14.8,117.58333333333333
12,17.2,3.7,1013.5,44,20,10,14.8,122.70833333333333
6.1,10,3,1011.5,86,16.7,4.6,9.4,111.95833333333333
2.1,4.5,0.2,1016.1,89,12.4,5.9,11.1,59.208333333333336
2.6,4.7,0.2,1019.3,81,14.2,5.4,9.4,77.20833333333333
5.3,10.5,-0.2,1011.8,70,17.5,5.2,13,98.70833333333333
7.6,11,3.7,1012.3,53,16.9,6.7,11.1,123.70833333333333
9.2,15,4.2,1014.8,57,19.2,5.9,13,64.79166666666667
12.2,19.5,2.1,1016.3,33,18.2,5.6,14.8,52.333333333333336
12.2,18.7,5.2,1011.8,49,18.8,7.2,16.5,52.041666666666664
