T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
2.8,5,-0.2,1017.7,78,14.5,2.2,5.4,255.875
3.9,9.5,-0.4,1016.1,77,13.5,2,3.5,217.08333333333334
6.2,10.7,1.6,1011.8,78,16.4,3.1,7.6,229.16666666666666
3.1,8.6,-1.1,1032,86,8,1.9,3.5,298.4583333333333
1.9,5.6,-1,1035.6,96,2.4,3,5.4,264.9166666666667
2.6,5,0.4,1034.4,89,4.2,2,3.5,404.5
6.7,9.2,4.7,1017.5,85,11.9,3.3,7.6,188.5
2.9,4.7,1.1,1017.4,88,11.9,5,11.1,164.75
0.5,1.5,-1,1027.8,68,16.3,2,3.5,376.9166666666667
0.4,3,-2.4,1016.5,68,18.2,2.6,5.4,0.0
1.6,7.2,-3.9,1021.4,70,14,1.7,3.5,0.0
6.4,9.6,1.4,1014.7,68,18.2,1.7,5.4,57.0
-1.9,1.1,-3.5,1023.1,59,15.4,10.4,13,202.91666666666666
-1,2,-3.9,1023.5,62,16.4,8.3,11.1,205.125
0.3,2.5,-1.3,1030.7,68,15.3,4.1,7.6,214.125
3.6,10.2,-1.3,1025.3,70,11.7,1.9,5.4,315.7916666666667
4.6,12.1,-2.7,1025.1,65,12.2,1.7,3.5,322.25
5.1,10.5,-0.8,1024.6,69,15.3,1.5,1.9,246.04166666666666
7.7,11.9,4.7,1021.3,69,15.6,1.7,5.4,200.91666666666666
8.3,14.1,3.5,1024.8,69,12.7,2.8,3.5,99.5
8.3,12.8,5.1,1016.8,81,15.6,3.9,5.4,143.91666666666666
7.6,11.8,3.3,1014.9,66,15.4,2,5.4,100.25
4.2,7.6,1.1,1015.5,68,15.6,1.7,3.5,165.0
4.3,11.8,-0.8,1017.2,72,17.7,3,7.6,116.45833333333333
3.9,7.8,0.6,1021.1,90,16.3,5,9.4,143.0
5.2,12.1,-1,1016.4,62,14.5,3.3,5.4,231.125
6.8,12.2,0.3,1013.5,59,18.3,2.4,3.5,218.66666666666666
7,9.7,4.7,1011.8,86,14,2.8,3.5,211.0
4.1,7.3,0.5,1006.9,78,13.5,3.1,5.4,52.208333333333336
